Arrival Time   Voting Duration   Start Time    Departure Time
    598.60        25.89          4409.49           4435.38

    599.42        11.43          4435.38           4446.81

    604.34         2.20          4446.81           4449.02

    604.87        14.01          4449.02           4463.02

    607.86         7.80          4463.02           4470.82

    609.82         2.69          4470.82           4473.51

    610.13         5.64          4473.51           4479.15

    610.86         1.94          4479.15           4481.09

    612.30         3.90          4481.09           4485.00

    613.93        13.12          4485.00           4498.12

    614.48        18.90          4498.12           4517.01

    617.39         8.25          4517.01           4525.26

    617.46         5.75          4525.26           4531.01

    618.40        24.41          4531.01           4555.42

    622.17         5.17          4555.42           4560.59

    622.67        16.46          4560.59           4577.05

    623.43         5.64          4577.05           4582.69

    623.55        25.67          4582.69           4608.37

    625.22        12.56          4608.37           4620.93

    625.53        49.40          4620.93           4670.33

    625.95         4.55          4670.33           4674.88

    626.93         1.72          4674.88           4676.60

    627.31        11.20          4676.60           4687.80

    627.36        12.01          4687.80           4699.81

    632.07         4.57          4699.81           4704.38

    633.79         5.87          4704.38           4710.25

    635.37        11.77          4710.25           4722.02

    636.28        15.52          4722.02           4737.54

    636.52         5.50          4737.54           4743.04

    637.36        10.02          4743.04           4753.06

    637.73         3.62          4753.06           4756.67

    637.74         0.87          4756.67           4757.54

    638.43        28.37          4757.54           4785.91

    639.37         3.63          4785.91           4789.54

    641.01        17.01          4789.54           4806.56

    643.38        20.23          4806.56           4826.79

    647.69         5.90          4826.79           4832.68

    649.93         3.77          4832.68           4836.46

    651.35         9.56          4836.46           4846.02

    652.74         2.32          4846.02           4848.33

    653.39        17.58          4848.33           4865.91

    654.71         1.46          4865.91           4867.37

    659.13         1.06          4867.37           4868.43

    660.39        11.34          4868.43           4879.77

    660.76         0.26          4879.77           4880.04

    661.96        18.94          4880.04           4898.98

    662.25        13.12          4898.98           4912.10

    664.26         2.71          4912.10           4914.81

    664.47         9.04          4914.81           4923.85

    665.80        26.68          4923.85           4950.52

    665.96         6.52          4950.52           4957.05

    667.58        16.79          4957.05           4973.84

    668.24        14.52          4973.84           4988.36

    670.47         1.71          4988.36           4990.06

    671.25         5.59          4990.06           4995.65

    671.76        25.55          4995.65           5021.20

    674.28        13.88          5021.20           5035.08

    674.87         9.40          5035.08           5044.47

    675.41        22.88          5044.47           5067.35

    676.55         5.60          5067.35           5072.95

    677.24         5.65          5072.95           5078.60

    678.36         7.17          5078.60           5085.77

    682.63        13.50          5085.77           5099.27

    682.86         5.29          5099.27           5104.55

    685.19         8.09          5104.55           5112.64

